,code,date,open,high,low,close,volume
0,600078,2005-01-04,3.472,3.472,3.325,3.35,12081.45
1,600078,2005-01-05,3.356,3.436,3.338,3.423,11402.0
2,600078,2005-01-06,3.43,3.43,3.338,3.381,7503.3
3,600078,2005-01-07,3.393,3.479,3.368,3.466,21503.3
4,600078,2005-01-10,3.479,3.485,3.399,3.46,11669.77
5,600078,2005-01-11,3.472,3.534,3.442,3.46,10608.96
6,600078,2005-01-12,3.491,3.546,3.448,3.54,14145.52
7,600078,2005-01-13,3.54,3.546,3.497,3.528,8154.2
8,600078,2005-01-14,3.521,3.583,3.387,3.43,9526.8
9,600078,2005-01-17,3.417,3.448,3.368,3.43,7317.0
10,600078,2005-01-18,3.43,3.46,3.387,3.436,6072.6
11,600078,2005-01-19,3.43,3.43,3.368,3.411,2400.0
12,600078,2005-01-20,3.43,3.521,3.227,3.448,13886.42
13,600078,2005-01-21,3.43,3.442,3.338,3.423,6672.04
14,600078,2005-01-24,3.43,3.521,3.387,3.423,10676.7
15,600078,2005-01-25,3.43,3.43,3.338,3.387,8886.0
16,600078,2005-01-26,3.387,3.399,3.276,3.301,6713.0
17,600078,2005-01-27,3.319,3.362,3.24,3.252,7910.0
18,600078,2005-01-28,3.258,3.289,3.185,3.215,11699.0
19,600078,2005-01-31,3.197,3.252,3.172,3.209,9423.09
20,600078,2005-02-01,3.215,3.338,3.215,3.221,7507.0
21,600078,2005-02-02,3.246,3.374,3.234,3.368,10551.63
22,600078,2005-02-03,3.381,3.448,3.344,3.381,13626.5
23,600078,2005-02-04,3.399,3.479,3.356,3.454,14968.2
24,600078,2005-02-16,3.466,3.485,3.405,3.454,8076.41
25,600078,2005-02-17,3.46,3.46,3.387,3.43,7376.02
26,600078,2005-02-18,3.423,3.466,3.411,3.43,12885.0
27,600078,2005-02-21,3.43,3.515,3.417,3.509,16886.29
28,600078,2005-02-22,3.509,3.583,3.442,3.558,25563.31
29,600078,2005-02-23,3.552,3.754,3.515,3.693,93138.44
30,600078,2005-02-24,3.705,3.877,3.675,3.754,60650.27
31,600078,2005-02-25,3.766,3.797,3.693,3.724,34335.15
32,600078,2005-02-28,3.724,3.766,3.626,3.675,26646.0
33,600078,2005-03-01,3.644,3.711,3.632,3.668,12456.62
34,600078,2005-03-02,3.668,3.717,3.521,3.583,20987.84
35,600078,2005-03-07,3.589,3.76,3.583,3.76,26950.72
36,600078,2005-03-08,3.785,3.791,3.668,3.76,33885.42
37,600078,2005-03-09,3.736,3.785,3.705,3.742,36335.4
38,600078,2005-03-10,3.748,3.773,3.632,3.681,29353.33
39,600078,2005-03-11,3.675,3.711,3.601,3.705,19337.56
