,Unnamed: 0,code,date,open,high,low,close,volume,amplitude,percent,MA3,EMA5,EMA10,EMA14,EMA20,EMA30,EMA22,EMA250,EMA888,DIFF,DEA,abspercent,EMA15PER,EMA5LOW,EMA10LOW,EMA15LOW,EMA20LOW,low9,high9,quick_k,quick_d,slow_d,lowopendiff,lowdiffmacd,lowclosediff,lowdiffmacd2,maxclosediff,absclosediff,fmrsi,fzrsi,rsi5,highlowdiff,highlowdiffema5,bollstd,jd,ejd,newdiverse10
0,0,2706,2014-01-21,8.459,10.256,8.459,10.256,22467.0,,,,10.256,10.256,10.256,10.256,10.256,10.256,10.256,10.256,0.0,,,,8.459,8.459,8.459,8.459,,,0.0,,,19.2038471814,19.204,1.797,1.797,0.0,,0.0,,,1.797,1.797,,,,0.0
1,1,2706,2014-01-22,9.891,11.065,9.23,10.485,147900.0,0.229,0.0223,,10.393,10.382,10.379,10.376,10.374,10.376,10.371,10.371,0.006,,2.23,2.23,8.922,8.883,8.87,8.864,,,0.0,,,18.0832717418,18.581,1.255,1.507,0.229,0.229,0.137,0.229,59.83,1.835,1.82,,33869.1,33869.1,0.0099
2,2,2706,2014-01-23,9.965,10.648,9.81,10.253,90294.0,-0.232,-0.0221,10.331,10.327,10.33,10.331,10.331,10.331,10.331,10.331,10.331,-0.000999999999999,,-2.21,-0.138,9.342,9.256,9.226,9.211,,,0.0,0.0,,8.19239417343,14.324,0.443,1.1,0.0,0.232,0.072,0.231,31.17,0.838,1.355,,-20948.208,-2675.772,-0.0075
3,3,2706,2014-01-24,10.271,11.279,10.271,11.279,55574.0,1.026,0.1001,10.672,10.722,10.643,10.621,10.605,10.592,10.601,10.571,10.569,0.042,,10.01,3.705,9.728,9.59,9.542,9.517,,,0.0,0.0,,9.35498839907,12.64,1.008,1.072,1.026,1.026,0.468,0.607,77.1,1.008,1.211,,57018.924,31435.4828571,0.0598
4,4,2706,2014-01-27,11.441,12.161,10.91,11.537,100095.0,0.258,0.0229,11.023,11.035,10.899,10.86,10.83,10.807,10.824,10.767,10.764,0.075,,2.29,3.278,10.182,9.969,9.893,9.854,,,0.0,0.0,0.0,10.8447834944,12.106,0.627,0.956,0.258,0.258,0.388,0.462,83.98,1.251,1.226,,25824.51,28442.964,0.0585
5,5,2706,2014-01-28,11.102,11.441,10.729,11.076,64078.0,-0.461,-0.04,11.297,11.05,10.945,10.91,10.882,10.86,10.876,10.82,10.816,0.069,,-4.0,1.41,10.382,10.166,10.082,10.039,,,0.0,0.0,0.0,6.42309427154,10.566,0.347,0.815,0.0,0.461,0.246,0.462,53.25,0.712,1.038,,-29539.958,-1483.70541935,0.012
6,6,2706,2014-01-29,10.98,10.98,10.408,10.622,61696.0,-0.454,-0.041,11.078,10.898,10.867,10.849,10.833,10.819,10.829,10.791,10.788,0.038,0.033,-4.1,0.16,10.391,10.225,10.149,10.108,,,0.0,0.0,0.0,5.3487937161,9.246,0.214,0.688,0.0,0.454,0.159,0.459,34.64,0.572,0.873,,-28009.984,-14957.3707302,-0.0225
7,7,2706,2014-01-30,10.441,10.792,10.341,10.537,28965.0,-0.085,-0.008,10.745,10.773,10.792,10.788,10.782,10.775,10.78,10.758,10.756,0.012,0.034,-0.8,-0.037,10.374,10.251,10.186,10.149,,,0.0,0.0,0.0,4.26820612312,8.049,0.196,0.592,0.0,0.085,0.104,0.327,31.8,0.451,0.727,,-2462.025,-8660.50359055,-0.0236
8,8,2706,2014-02-07,10.493,10.858,10.489,10.814,28651.0,0.277,0.0263,10.658,10.787,10.797,10.793,10.787,10.78,10.785,10.765,10.763,0.012,0.035,2.63,0.471,10.413,10.303,10.24,10.203,10.253,11.537,43.69,14.56,4.85,3.45716025671,6.989,0.325,0.543,0.277,0.277,0.163,0.309,52.75,0.369,0.604,,7936.327,-329.545490196,0.0016
9,9,2706,2014-02-10,10.806,11.441,10.622,11.212,56710.0,0.398,0.0368,10.854,10.931,10.884,10.866,10.851,10.838,10.847,10.811,10.808,0.037,0.041,3.68,1.044,10.484,10.37,10.305,10.266,10.253,11.537,74.69,39.46,18.01,7.42419435254,7.086,0.59,0.551,0.398,0.398,0.243,0.34,71.47,0.819,0.677,,22570.58,11142.9244227,0.0301
