,Unnamed: 0,code,date,open,high,low,close,volume,amplitude,percent,MA3,EMA5,EMA10,EMA14,EMA20,EMA30,EMA22,EMA250,EMA888,DIFF,DEA,abspercent,EMA15PER,EMA5LOW,EMA10LOW,EMA15LOW,EMA20LOW,low9,high9,quick_k,quick_d,slow_d,lowopendiff,lowdiffmacd,lowclosediff,lowdiffmacd2,maxclosediff,absclosediff,fmrsi,fzrsi,rsi5,highlowdiff,highlowdiffema5,bollstd,jd,ejd,newdiverse10
0,0,2603,2011-07-28,15.466,16.858,15.13,16.858,457884.0,,,,16.858,16.858,16.858,16.858,16.858,16.858,16.858,16.858,0.0,,,,15.13,15.13,15.13,15.13,,,0.0,,,10.8040515193,10.804,1.728,1.728,0.0,,0.0,,,1.728,1.728,,,,0.0
1,1,2603,2011-07-29,17.605,18.3,17.462,17.809,241987.0,0.951,0.0564,,17.429,17.381,17.367,17.357,17.349,17.355,17.335,17.334,0.026,,5.64,5.64,16.529,16.413,16.374,16.354,,,0.0,,,4.68653878418,7.405,0.347,0.988,0.951,0.951,0.571,0.951,60.04,0.838,1.194,,230129.637,230129.637,0.0246
2,2,2603,2011-08-01,17.36,18.3,16.987,17.892,181316.0,0.083,0.0047,17.52,17.648,17.586,17.568,17.554,17.542,17.551,17.522,17.52,0.035,,0.47,2.883,16.746,16.644,16.606,16.587,,,0.0,0.0,,7.44183410321,7.42,0.905,0.956,0.083,0.083,0.34,0.43,79.07,1.313,1.25,,15049.228,86742.6976667,0.0174
3,3,2603,2011-08-02,17.507,18.262,17.168,17.319,147908.0,-0.573,-0.032,17.673,17.511,17.498,17.492,17.486,17.481,17.485,17.471,17.47,0.013,,-3.2,0.579,16.921,16.816,16.776,16.754,,,0.0,0.0,,6.1755574372,6.999,0.151,0.71,0.0,0.573,0.199,0.498,39.96,1.094,1.185,,-84751.284,-11253.8632857,-0.0102
4,4,2603,2011-08-03,16.828,17.47,16.715,17.115,95882.0,-0.204,-0.0118,17.442,17.359,17.388,17.393,17.396,17.398,17.397,17.399,17.399,-0.009,,-1.18,0.048,16.842,16.787,16.76,16.745,,,0.0,0.0,0.0,4.41714202135,6.231,0.4,0.629,0.0,0.204,0.122,0.376,32.45,0.755,1.02,,-19559.928,-15683.7644667,-0.0157
5,5,2603,2011-08-04,17.021,17.187,16.33,16.79,105794.0,-0.325,-0.019,17.075,17.151,17.233,17.254,17.268,17.279,17.271,17.295,17.297,-0.038,,-1.9,-0.452,16.655,16.668,16.663,16.657,,,0.0,0.0,0.0,5.11382283617,5.928,0.46,0.59,0.0,0.325,0.078,0.356,21.91,0.857,0.961,,-34383.05,-25335.0086129,-0.0257
6,6,2603,2011-08-05,16.149,16.979,16.002,16.349,90870.0,-0.441,-0.0263,16.751,16.867,17.02,17.063,17.094,17.118,17.101,17.157,17.16,-0.081,-0.008,-2.63,-0.946,16.424,16.508,16.527,16.533,,,0.0,0.0,0.0,5.92462326794,5.927,0.347,0.539,0.0,0.441,0.05,0.387,12.92,0.977,0.966,,-40073.67,-32821.3128095,-0.0394
7,7,2603,2011-08-08,15.983,16.307,14.866,15.051,111290.0,-1.298,-0.0794,16.063,16.237,16.572,16.67,16.741,16.795,16.756,16.886,16.895,-0.184,-0.034,-7.94,-2.386,15.883,16.134,16.21,16.245,,,0.0,0.0,0.0,9.24518012383,6.725,0.185,0.47,0.0,1.298,0.033,0.71,4.65,1.441,1.131,,-144454.42,-89077.3668268,-0.0918
8,8,2603,2011-08-09,14.376,15.564,14.342,15.296,85131.0,0.245,0.0163,15.565,15.915,16.294,16.417,16.509,16.581,16.529,16.704,16.715,-0.235,-0.071,1.63,-1.621,15.356,15.744,15.876,15.94,15.051,17.892,8.62,2.87,0.96,8.17227312245,7.059,0.954,0.559,0.245,0.245,0.105,0.549,19.13,1.222,1.162,,20857.095,-33894.5781451,-0.0612
9,9,2603,2011-08-10,15.394,16.183,15.36,15.768,82162.0,0.472,0.0309,15.372,15.865,16.184,16.303,16.398,16.473,16.418,16.607,16.62,-0.234,-0.11,3.09,-0.779,15.357,15.664,15.789,15.853,15.051,17.892,25.24,11.29,4.72,5.21827346796,6.647,0.408,0.532,0.472,0.472,0.23,0.522,44.06,0.823,1.047,,38780.464,2514.0535362,-0.0257
