,Unnamed: 0,code,date,open,high,low,close,volume,amplitude,percent,MA3,EMA5,EMA10,EMA14,EMA20,EMA30,EMA22,EMA250,EMA888,DIFF,DEA,abspercent,EMA15PER,EMA5LOW,EMA10LOW,EMA15LOW,EMA20LOW,low9,high9,quick_k,quick_d,slow_d,lowopendiff,lowdiffmacd,lowclosediff,lowdiffmacd2,maxclosediff,absclosediff,fmrsi,fzrsi,rsi5,highlowdiff,highlowdiffema5,bollstd,jd,ejd,newdiverse10
0,0,300449,2015-04-22,11.693,12.756,11.693,12.756,186.0,,,,12.756,12.756,12.756,12.756,12.756,12.756,12.756,12.756,0.0,,,,11.693,11.693,11.693,11.693,,,0.0,,,8.69565217391,8.696,1.063,1.063,0.0,,0.0,,,1.063,1.063,,,,0.0
1,1,300449,2015-04-23,14.033,14.033,14.033,14.033,34.0,1.277,0.1001,,13.522,13.458,13.44,13.426,13.416,13.424,13.397,13.395,0.034,,10.01,10.01,13.097,12.98,12.941,12.922,,,0.0,,,0.0,3.865,0.0,0.494,1.277,1.277,0.766,1.277,59.98,0.0,0.425,,43.418,43.418,0.0427
2,2,300449,2015-04-24,15.434,15.434,15.434,15.434,95.0,1.401,0.0998,14.074,14.428,14.253,14.202,14.164,14.134,14.155,14.081,14.076,0.098,,9.98,9.994,14.204,13.966,13.885,13.844,,,0.0,0.0,,0.0,2.281,0.0,0.305,1.401,1.401,1.067,1.351,78.98,0.0,0.224,,133.095,103.202666667,0.0829
3,3,300449,2015-04-27,16.976,16.976,16.976,16.976,61.0,1.542,0.0999,15.481,15.486,15.15,15.05,14.975,14.917,14.96,14.814,14.804,0.19,,9.99,9.992,15.355,14.958,14.819,14.748,,,0.0,0.0,,0.0,1.508,0.0,0.212,1.542,1.542,1.264,1.442,87.66,0.0,0.131,,94.062,97.9794285714,0.1205
4,4,300449,2015-04-28,18.672,18.672,18.672,18.672,88.0,1.696,0.0999,17.027,16.709,16.161,15.995,15.87,15.771,15.843,15.598,15.581,0.318,,9.99,9.992,16.629,16.024,15.808,15.697,,,0.0,0.0,0.0,0.0,1.06,0.0,0.156,1.696,1.696,1.43,1.547,92.44,0.0,0.081,,149.248,125.322666667,0.1554
5,5,300449,2015-04-29,20.538,20.538,20.538,20.538,178.0,1.866,0.0999,18.729,18.108,17.298,17.046,16.854,16.704,16.813,16.438,16.412,0.485,,9.99,9.991,18.057,17.197,16.88,16.719,,,0.0,0.0,0.0,0.0,0.772,0.0,0.12,1.866,1.866,1.589,1.67,95.15,0.0,0.051,,332.148,232.071225806,0.1873
6,6,300449,2015-04-30,22.593,22.593,22.593,22.593,220.0,2.055,0.1001,20.601,19.696,18.574,18.215,17.939,17.722,17.88,17.338,17.301,0.694,0.26,10.01,9.996,19.663,18.497,18.056,17.829,,,0.0,0.0,0.0,0.0,0.577,0.0,0.095,2.055,2.055,1.754,1.81,96.91,0.0,0.033,,452.1,343.831873016,0.2164
7,7,300449,2015-05-04,24.853,24.853,24.853,24.853,360.0,2.26,0.1,22.661,21.485,20.002,19.513,19.135,18.835,19.053,18.304,18.252,0.949,0.395,10.0,9.996,21.463,19.943,19.351,19.043,,,0.0,0.0,0.0,0.0,0.438,0.0,0.076,2.26,2.26,1.93,1.97,97.97,0.0,0.022,,813.6,580.565417323,0.2425
8,8,300449,2015-05-05,27.337,27.337,27.337,27.337,658.0,2.484,0.0999,24.928,23.488,21.598,20.954,20.45,20.05,20.342,19.34,19.271,1.256,0.57,9.99,9.995,23.473,21.552,20.778,20.374,12.756,27.337,100.0,33.33,11.11,0.0,0.337,0.0,0.062,2.484,2.484,2.119,2.148,98.65,0.0,0.014,,1634.472,1109.58519216,0.2657
9,9,300449,2015-05-06,30.071,30.071,30.071,30.071,1630.0,2.734,0.1,27.42,25.721,23.378,22.551,21.899,21.379,21.758,20.452,20.362,1.62,0.787,10.0,9.996,25.711,23.341,22.354,21.834,14.033,30.071,100.0,66.67,33.33,0.0,0.262,0.0,0.051,2.734,2.734,2.328,2.349,99.11,0.0,0.009,,4456.42,2786.27738552,0.2863
